Date,Open,High,Low,Close,Volume
1/3/2000,3093.699951,3093.699951,3093.699951,3093.699951,0
1/4/2000,3018.699951,3018.699951,3018.699951,3018.699951,0
1/5/2000,2999.300049,2999.300049,2999.300049,2999.300049,0
1/6/2000,3023.399902,3023.399902,3023.399902,3023.399902,0
1/9/2000,3084,3084,3084,3084,0
1/10/2000,3160.800049,3160.800049,3160.800049,3160.800049,0
1/11/2000,3088.399902,3088.399902,3088.399902,3088.399902,0
1/12/2000,3078.899902,3078.899902,3078.899902,3078.899902,0
1/13/2000,3115.399902,3115.399902,3115.399902,3115.399902,0
1/16/2000,3121.5,3121.5,3121.5,3121.5,0
1/17/2000,3128,3128,3128,3128,0
1/18/2000,3080.5,3080.5,3080.5,3080.5,0
1/19/2000,3112.5,3112.5,3112.5,3112.5,0
1/20/2000,3073.399902,3073.399902,3073.399902,3073.399902,0
1/23/2000,3069.699951,3069.699951,3069.699951,3069.699951,0
1/24/2000,3048.699951,3048.699951,3048.699951,3048.699951,0
1/25/2000,null,null,null,null,null
1/26/2000,3051.399902,3051.399902,3051.399902,3051.399902,0
1/27/2000,3064.600098,3064.600098,3064.600098,3064.600098,0
1/30/2000,3080.199951,3080.199951,3080.199951,3080.199951,0
1/31/2000,3072.300049,3072.300049,3072.300049,3072.300049,0
2/1/2000,3110.300049,3110.300049,3110.300049,3110.300049,0
2/2/2000,3142.399902,3142.399902,3142.399902,3142.399902,0
2/3/2000,3118.699951,3118.699951,3118.699951,3118.699951,0
2/6/2000,3136.899902,3136.899902,3136.899902,3136.899902,0
2/7/2000,3134.600098,3134.600098,3134.600098,3134.600098,0
2/8/2000,3149.899902,3149.899902,3149.899902,3149.899902,0
2/9/2000,3192.300049,3192.300049,3192.300049,3192.300049,0
2/10/2000,3167.300049,3167.300049,3167.300049,3167.300049,0
2/13/2000,3122.199951,3122.199951,3122.199951,3122.199951,0
2/14/2000,3152.300049,3152.300049,3152.300049,3152.300049,0
2/15/2000,3150.399902,3150.399902,3150.399902,3150.399902,0
2/16/2000,3140.800049,3140.800049,3140.800049,3140.800049,0
2/17/2000,3114.899902,3114.899902,3114.899902,3114.899902,0
2/20/2000,3114.899902,3114.899902,3114.899902,3114.899902,0
2/21/2000,3097,3097,3097,3097,0
2/22/2000,3101.100098,3101.100098,3101.100098,3101.100098,0
2/23/2000,3099.600098,3099.600098,3099.600098,3099.600098,0
2/24/2000,3111.199951,3111.199951,3111.199951,3111.199951,0
2/27/2000,3106.699951,3106.699951,3106.699951,3106.699951,0
2/28/2000,3124.600098,3124.600098,3124.600098,3124.600098,0
2/29/2000,3187.199951,3187.199951,3187.199951,3187.199951,0
3/1/2000,3219.800049,3219.800049,3219.800049,3219.800049,0
3/2/2000,3232.600098,3232.600098,3232.600098,3232.600098,0
3/5/2000,3214,3214,3214,3214,0
3/6/2000,3232.5,3232.5,3232.5,3232.5,0
3/7/2000,3207.899902,3207.899902,3207.899902,3207.899902,0
3/8/2000,3188,3188,3188,3188,0
3/9/2000,3189.300049,3189.300049,3189.300049,3189.300049,0
3/12/2000,3185.899902,3185.899902,3185.899902,3185.899902,0
3/13/2000,3178.699951,3178.699951,3178.699951,3178.699951,0
3/14/2000,3159.699951,3159.699951,3159.699951,3159.699951,0
3/15/2000,3171.800049,3171.800049,3171.800049,3171.800049,0
3/16/2000,3200.399902,3200.399902,3200.399902,3200.399902,0
3/19/2000,3237.699951,3237.699951,3237.699951,3237.699951,0
3/20/2000,3248.800049,3248.800049,3248.800049,3248.800049,0
3/21/2000,3276.399902,3276.399902,3276.399902,3276.399902,0
