Date,EUR,AUD,JPY
1/3/2000,1.0155,0.6591,101.7
1/4/2000,1.0309,0.6562,103.09
1/5/2000,1.0335,0.655,103.77
1/6/2000,1.0324,0.654,105.19
1/7/2000,1.0294,0.6548,105.17
1/10/2000,1.0252,0.6561,105.28
1/11/2000,1.0322,0.6575,106.09
1/12/2000,1.0281,0.6578,105.76
1/13/2000,1.027,0.6687,106.09
1/14/2000,1.0128,0.6665,105.86
1/17/2000,ND,ND,ND
1/18/2000,1.0121,0.664,105.49
1/19/2000,1.0115,0.6634,105.39
1/20/2000,1.0133,0.6666,105.45
1/21/2000,1.01,0.6621,104.96
1/24/2000,1.0019,0.6544,105.52
1/25/2000,1.0041,0.6542,105.87
1/26/2000,1.0011,0.6505,105.85
1/27/2000,0.989,0.655,104.91
1/28/2000,0.9765,0.6265,107.15
1/31/2000,0.9757,0.6382,107.33
2/1/2000,0.9731,0.6315,107.67
2/2/2000,0.9768,0.636,108.4
2/3/2000,0.9887,0.6387,107.92
2/4/2000,0.976,0.6315,107.54
2/7/2000,0.9783,0.6339,108.75
2/8/2000,0.9862,0.6353,109.59
2/9/2000,0.9914,0.6345,109.11
2/10/2000,0.9865,0.632,108.74
2/11/2000,0.9847,0.6282,108.99
2/14/2000,0.9783,0.6279,108.65
2/15/2000,0.9834,0.63,108.75
2/16/2000,0.9842,0.6301,109.38
2/17/2000,0.9863,0.632,110.27
2/18/2000,0.985,0.6292,110.88
2/21/2000,ND,ND,ND
2/22/2000,1.006,0.6257,111.04
2/23/2000,1.0017,0.6196,111.11
2/24/2000,0.9931,0.6144,110.95
2/25/2000,0.9763,0.6175,110.98
2/28/2000,0.9669,0.6116,109.17
2/29/2000,0.9643,0.6155,109.88
3/1/2000,0.97,0.6067,107.1
3/2/2000,0.9619,0.6077,107.37
3/3/2000,0.9618,0.6082,107.8
3/6/2000,0.9603,0.6016,107.74
3/7/2000,0.956,0.6035,106.2
3/8/2000,0.9576,0.6094,106.89
3/9/2000,0.9684,0.6155,106.45
3/10/2000,0.9659,0.6136,106.27
3/13/2000,0.9648,0.6165,105.32
3/14/2000,0.9644,0.614,104.85
3/15/2000,0.9696,0.6125,105.58
3/16/2000,0.971,0.6107,105.63
3/17/2000,0.9694,0.6067,106.1
3/20/2000,0.971,0.6065,106.5
3/21/2000,0.9703,0.61,106.91
3/22/2000,0.9608,0.6056,106.77
3/23/2000,0.9691,0.6041,107.45
3/24/2000,0.9724,0.6064,107.25
3/27/2000,0.9645,0.6114,107.13
3/28/2000,0.9614,0.6141,105.9
3/29/2000,0.9524,0.6124,105.6
3/30/2000,0.9594,0.6125,105.53
3/31/2000,0.9574,0.6062,102.73
4/3/2000,0.956,0.6073,104.82
4/4/2000,0.9588,0.6032,105.33
4/5/2000,0.9647,0.6053,105
4/6/2000,0.958,0.6016,104.78
4/7/2000,0.959,0.6003,105.33
4/10/2000,0.9588,0.5991,106.37
4/11/2000,0.9591,0.5957,106.95
4/12/2000,0.9551,0.597,105.86
4/13/2000,0.9524,0.5963,105.76
4/14/2000,0.9564,0.5972,105.12
4/17/2000,0.955,0.5913,104.19
4/18/2000,0.9477,0.5946,104.59
4/19/2000,0.9369,0.5957,104.94
4/20/2000,0.9376,0.5931,105.45
4/21/2000,0.9379,0.5925,105.88
4/24/2000,0.9396,0.5945,105.66
4/25/2000,0.9265,0.5956,105.71
4/26/2000,0.9217,0.589,106.46
4/27/2000,0.9083,0.5875,106.36
4/28/2000,0.9089,0.5837,107.98
5/1/2000,0.912,0.58,108.89
5/2/2000,0.9068,0.5857,108.63
5/3/2000,0.8891,0.59,109.14
5/4/2000,0.8907,0.5914,108.17
5/5/2000,0.8953,0.5935,108.53
5/8/2000,0.895,0.587,109.03
5/9/2000,0.9023,0.5828,109.61
5/10/2000,0.9097,0.5815,109.33
5/11/2000,0.9021,0.579,108.47
5/12/2000,0.908,0.581,108.74
5/15/2000,0.9138,0.5739,109.48
5/16/2000,0.9053,0.5773,109.75
5/17/2000,0.8921,0.5685,109.53
5/18/2000,0.8952,0.5703,108.7
5/19/2000,0.8946,0.5728,106.89
5/22/2000,0.9036,0.574,107.02
5/23/2000,0.9032,0.5747,106.72
5/24/2000,0.9096,0.5713,107.58
5/25/2000,0.9072,0.57,107.48
5/26/2000,0.931,0.5716,107.18
5/29/2000,ND,ND,ND
5/30/2000,0.9314,0.5768,106.44
5/31/2000,0.9328,0.5708,107.74
6/1/2000,0.9307,0.5721,108.74
6/2/2000,0.9432,0.579,108.15
6/5/2000,0.9471,0.5812,107.44
6/6/2000,0.957,0.5887,105.64
6/7/2000,0.96,0.59,105.5
6/8/2000,0.9548,0.5878,105.86
6/9/2000,0.9526,0.5864,106.78
6/12/2000,0.9544,0.5912,106.65
6/13/2000,0.9619,0.5973,106.79
6/14/2000,0.959,0.6007,106.89
6/15/2000,0.953,0.6015,106.52
6/16/2000,0.9648,0.6083,106.22
6/19/2000,0.9622,0.6024,105.74
6/20/2000,0.9557,0.6037,105.42
6/21/2000,0.9455,0.6026,105.5
6/22/2000,0.9398,0.5993,104.4
6/23/2000,0.9358,0.5964,104.59
6/26/2000,0.9382,0.5965,105.66
6/27/2000,0.9444,0.6012,105.53
6/28/2000,0.9444,0.6023,105.51
6/29/2000,0.9515,0.6029,105.09
6/30/2000,0.9545,0.5971,106.14
7/3/2000,0.9526,0.5996,105.64
7/4/2000,ND,ND,ND
7/5/2000,0.9548,0.5907,106.91
7/6/2000,0.9527,0.5909,107.37
7/7/2000,0.9484,0.5901,107.81
7/10/2000,0.9521,0.5912,107.1
7/11/2000,0.9497,0.5891,106.93
7/12/2000,0.9401,0.589,108.36
7/13/2000,0.9339,0.5855,108.27
7/14/2000,0.9374,0.5847,107.88
7/17/2000,0.9351,0.5855,108.53
7/18/2000,0.9322,0.5844,108.3
7/19/2000,0.9237,0.575,108.2
7/20/2000,0.9292,0.5816,107.89
7/21/2000,0.9343,0.5865,109.08
7/24/2000,0.9314,0.586,108.92
7/25/2000,0.9391,0.5849,109.3
7/26/2000,0.9413,0.5904,109.28
7/27/2000,0.9331,0.5891,109.15
7/28/2000,0.9246,0.5872,109.63
7/31/2000,0.9266,0.5787,109.68
8/1/2000,0.9228,0.5805,109.47
8/2/2000,0.9137,0.583,108.77
8/3/2000,0.9042,0.5844,108.36
8/4/2000,0.9075,0.5832,108.54
8/7/2000,0.9105,0.5862,108.99
8/8/2000,0.9019,0.5868,108.64
8/9/2000,0.8991,0.5786,107.99
8/10/2000,0.9077,0.5818,108.7
8/11/2000,0.9046,0.5795,108.68
8/14/2000,0.9037,0.581,109.52
8/15/2000,0.9135,0.5831,109
8/16/2000,0.9143,0.5897,108.55
8/17/2000,0.9152,0.5935,108.48
8/18/2000,0.9068,0.5905,108.43
8/21/2000,0.9027,0.589,108.53
8/22/2000,0.8965,0.5802,108.34
8/23/2000,0.8967,0.5708,107.02
