Date,Price
1/3/2000,450
1/4/2000,436
1/5/2000,420
1/6/2000,415
1/7/2000,420
1/10/2000,422
1/11/2000,423
1/12/2000,423
1/13/2000,425
1/14/2000,434
1/17/2000,435
1/18/2000,435
1/19/2000,447
1/20/2000,449
1/21/2000,444
1/24/2000,458
1/25/2000,463
1/26/2000,456
1/27/2000,465
1/28/2000,497
1/31/2000,498
2/1/2000,493
2/2/2000,502
2/3/2000,510
2/4/2000,514
2/7/2000,526
2/8/2000,518
2/9/2000,554
2/10/2000,549
2/11/2000,545
2/14/2000,550
2/15/2000,545
2/16/2000,560
2/17/2000,575
2/18/2000,520
2/21/2000,530
2/22/2000,517
2/23/2000,500
2/24/2000,480
2/25/2000,470
2/28/2000,482
2/29/2000,495
3/1/2000,480
3/2/2000,467
3/3/2000,470
3/6/2000,475
3/7/2000,473
3/8/2000,482
3/9/2000,476
3/10/2000,482
3/13/2000,482
3/14/2000,488
3/15/2000,487
3/16/2000,490
3/17/2000,488
3/20/2000,492
3/21/2000,499
3/22/2000,500
3/23/2000,490
3/24/2000,484
3/27/2000,485
3/28/2000,482
3/29/2000,482
3/30/2000,482
3/31/2000,495
4/3/2000,508
4/4/2000,518
4/5/2000,526
4/6/2000,517
4/7/2000,505
4/10/2000,490
4/11/2000,497
4/12/2000,500
4/13/2000,506
4/14/2000,515
4/17/2000,508
4/18/2000,503
4/19/2000,497
4/20/2000,485
4/24/2000,484
4/25/2000,480
4/26/2000,475
4/27/2000,490
4/28/2000,530
5/1/2000,540
5/2/2000,535
5/3/2000,515
5/4/2000,516
5/5/2000,515
5/8/2000,508
5/9/2000,515
5/10/2000,515
5/11/2000,515
5/12/2000,518
5/15/2000,515
5/16/2000,510
5/17/2000,518
5/18/2000,524
5/19/2000,545
5/22/2000,553
5/23/2000,549
5/24/2000,567
5/25/2000,560
5/26/2000,551
5/29/2000,
5/30/2000,553
5/31/2000,555
6/1/2000,557
6/2/2000,562
6/5/2000,572
6/6/2000,565
6/7/2000,565
6/8/2000,554
6/9/2000,557
6/12/2000,553
6/13/2000,560
6/14/2000,547
6/15/2000,547
6/16/2000,548
6/19/2000,560
6/20/2000,577
6/21/2000,570
6/22/2000,580
6/23/2000,567
6/26/2000,586
6/27/2000,577
6/28/2000,583
6/29/2000,578
6/30/2000,562
7/3/2000,560
7/4/2000,555
7/5/2000,540
7/6/2000,545
7/7/2000,552
7/10/2000,556
7/11/2000,557
7/12/2000,559
7/13/2000,562
7/14/2000,568
7/17/2000,582
7/18/2000,585
7/19/2000,574
7/20/2000,583
7/21/2000,585
7/24/2000,582
7/25/2000,575
7/26/2000,572
7/27/2000,567
7/28/2000,570
7/31/2000,587
8/1/2000,598
8/2/2000,615
8/3/2000,590
8/4/2000,578
