Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
946875600,0,1469.25,1478,1438.359985,1455.219971,931800000,1506.233021,1348.406994,1455.219971,0,0,0,0,0,50
946962000,1,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,1506.233021,1348.406994,1427.320008,0,0,-1.251921439,-0.695511911,-0.556409528,0
947048400,1,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,1481.853345,1355.979988,1418.916667,0,0,-1.511781494,-1.030048625,-0.481732869,5.269240828
947134800,1,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,1468.714715,1361.38526,1415.049988,0,0,-1.544542053,-1.204335017,-0.340207036,8.053951311
947221200,1,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,1472.471683,1368.196286,1420.333984,0,0,-0.016923056,-0.851106804,0.834183747,53.14611677
947480400,0,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,1482.227187,1370.862779,1426.544983,0,0,1.591429686,-0.189043613,1.780473298,62.21674653
947566800,0,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,1479.897157,1376.625688,1428.261422,0,0,1.73292982,0.29735659,1.435573231,49.2347369
947653200,1,1438.560059,1442.599976,1427.079956,1432.25,974600000,1476.648519,1380.871471,1428.759995,0,0,1.499841598,0.58633635,0.913505248,45.59656642
947739600,1,1432.25,1454.199951,1432.25,1449.680054,1030400000,1478.000941,1384.167951,1431.084446,0,0,2.180380082,0.95456836,1.225811722,55.96711605
947826000,0,1449.680054,1473,1449.680054,1465.150024,1085900000,1483.692324,1385.289683,1434.491004,0,0,3.428261775,1.508819283,1.919442493,63.15903947
948171600,1,1465.150024,1465.150024,1451.300049,1455.140015,1056700000,1484.676993,1388.05938,1436.368186,0,0,3.748633384,1.99887781,1.749755574,56.29428323
948258000,0,1455.140015,1461.390015,1448.680054,1455.900024,1087800000,1485.416792,1390.574887,1437.99584,0,0,3.974262403,2.423107576,1.551154827,56.70651769
