Date,Movement,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
946875600,0,1469.25,1478,1438.359985,1455.219971,931800000,175772217.6,0,-0.149345125,0,0,-49318417.38,1000,19.05371673,1506.233021,1348.406994,1455.219971,0,0,1457.193319,1496.833334,1417.553304,0,0,1455.219971,1455.219971,0,0,0,0,0,1455.219971,1455.219971,0,0,0,1,1,0,-4.953295478,1,0,82.05799108,-53.3787598,-53.3787598,0,1458.179993,1458.179993,1529.667602,1518.369925,4,4,0,50,0,-100,17.04441043,42.53274374,42.53274374,-57.46725626,0,-5.33787598,0,0
946962000,1,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,-1078670160,-1009000000,-0.555786356,0,-1.82E-06,-88428098.63,1000,21.82058818,1506.233021,1348.406994,1427.320008,0,0,1437.275004,1485.98997,1388.560038,0,0,1455.219971,1399.420044,0,0,-1.251921439,-0.695511911,-0.556409528,1424.995011,1426.246932,0,0,0,1,1,0,-0.581702819,2.0990556,-66.66666667,109.9579546,-71.5276985,-62.45322915,-9.07446935,1437.715027,1437.715027,1529.667602,1518.369925,4,8,-4,0,0,-100,12.02873417,2.469891192,22.50131747,-97.53010881,0,-3.834466824,-3.909917551,-3.834466824
947048400,1,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,-534776293.3,76500000,-0.222693084,-8163004848,-1.42E-06,-36603240.93,1000,22.80411517,1481.853345,1355.979988,1418.916667,0,0,1424.078898,1468.418864,1379.738932,0,0,1455.219971,1399.420044,0,0,-1.511781494,-1.030048625,-0.481732869,1416.06298,1417.574761,0,0,0,1,1,0,-0.419202775,3.081749991,-79.70005676,118.3612954,-76.99407546,-67.30017792,-9.69389754,1427.840027,1427.840027,1529.667602,1518.369925,4,8,-4,5.269240828,35.24154553,-98.96630155,22.50670235,24.35201769,23.11821754,-75.64798231,0,0.19221827,0.192033767,-3.649619099
947134800,1,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,564711618.1,1168800000,-0.124789623,335691253.1,-9.06E-07,3130416.661,1000,22.58953894,1468.714715,1361.38526,1415.049988,0,0,1418.680003,1456.884989,1380.475016,0,0,1455.219971,1399.420044,0,0,-1.544542053,-1.204335017,-0.340207036,1412.08154,1413.626082,0,0,0,1,1,0,-0.323253641,3.93976789,-56.07302514,122.2279743,-79.50935182,-70.35247139,-9.156880425,1427.840027,1427.840027,1529.667602,1518.369925,4,8,-4,8.053951311,52.23739665,-98.10843631,25.75691693,25.6877102,17.50320636,-74.3122898,0,0.095567824,0.095522187,-3.557539137
947221200,1,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,1385177539,2394000000,0.133096571,5498590044,-5.21E-07,34235044.94,1000,23.8859998,1472.471683,1368.196286,1420.333984,0,0,1420.521997,1459.233985,1381.81001,0,0,1455.219971,1399.420044,0,0,-0.016923056,-0.851106804,0.834183747,1420.066271,1420.083194,0,0,0,1,1,0,-0.216296973,4.862569811,27.88409873,116.9439777,-76.07210964,-71.49639904,-4.575710598,1427.840027,1427.840027,1529.667602,1518.369925,4,8,-4,53.14611677,63.25148063,-90.27231092,37.7197696,63.58647462,37.87540084,-36.41352538,0,2.709039961,2.672995006,-0.944874333
947480400,0,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,1661074427,3458800000,0.178996331,-1489125687,-2.80E-07,45106237.11,1011.189969,23.81485796,1482.227187,1370.862779,1426.544983,0,0,1426.181105,1462.256097,1390.106113,0,0,1457.599976,1399.420044,0,0,1.591429686,-0.189043613,1.780473298,1429.188936,1427.597507,0,0,0,1,1,0,-0.125788615,5.729793498,92.74698666,110.7329791,-72.03185228,-71.58564125,-0.446211032,1427.840027,1427.840027,1529.667602,1518.369925,24,8,16,62.21674653,69.48158627,-82.86374959,40.43837157,79.6650369,56.31307391,-20.3349631,-6.436165317,1.118996949,1.112782495,0.163549501
947566800,0,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,-231757838.3,2444800000,0.064597799,614573414.4,-2.59E-07,-1330307.529,997.9812885,23.84522453,1479.897157,1376.625688,1428.261422,0,0,1428.709525,1463.093802,1394.325248,0,0,1457.599976,1399.420044,0,0,1.73292982,0.29735659,1.435573231,1431.280069,1429.54714,0,0,0,1,1,0,-0.071702876,6.578460153,50.98984538,109.0165396,-70.91530767,-71.48987931,0.574571641,1427.840027,1427.840027,1529.667602,1518.369925,24,8,16,49.2347369,59.88402633,-77.94437891,38.55075554,60.68584307,67.9791182,-39.31415693,-5.327570457,-1.306251188,-1.314857679,-1.144838054
947653200,1,1438.560059,1442.599976,1427.079956,1432.25,974600000,-992912885.5,1470200000,0.018363621,2286567835,-2.48E-07,-17520344.81,993.6037717,23.25056707,1476.648519,1380.871471,1428.759995,0,0,1429.367915,1461.39416,1397.34167,0,0,1457.599976,1399.420044,0,0,1.499841598,0.58633635,0.913505248,1431.482479,1429.982637,0,0,0,1,1,0,-0.040582291,7.373540829,17.05633956,108.5179675,-70.59098623,-71.37751767,0.786531443,1427.840027,1427.840027,1529.667602,1518.369925,24,8,16,45.59656642,52.90794667,-74.42073043,43.8389211,54.39590847,64.91559615,-45.60409153,1.807116638,-0.438637161,-0.439601996,-1.57845353
947739600,1,1432.25,1454.199951,1432.25,1449.680054,1030400000,280762909.4,2500600000,0.080640516,182367918,-1.95E-07,8264701.956,993.6037717,23.15766592,1478.000941,1384.167951,1431.084446,0,0,1431.146665,1462.053322,1400.240008,0,0,1457.599976,1399.420044,0,0,2.180380082,0.95456836,1.225811722,1435.082607,1432.902227,0,0,0,1,1,0,-0.014695061,8.177299319,53.9219556,106.1935164,-69.07892979,-71.12211902,2.043189229,1427.840027,1427.840027,1529.667602,1518.369925,24,8,16,55.96711605,58.10844887,-70.24778992,55.3060216,71.77037356,62.2840417,-28.22962644,8.546211689,1.216970082,1.209624536,-0.380692755
947826000,0,1449.680054,1473,1449.680054,1465.150024,1085900000,960870744,3586500000,0.106061135,3661772671,-1.30E-07,24127623.83,993.6037717,23.16925735,1483.692324,1385.289683,1434.491004,0,0,1434.293001,1464.440987,1404.145016,0,0,1465.150024,1399.420044,0,0,3.428261775,1.508819283,1.919442493,1440.780371,1437.352109,0,0,0,1,1,0,0.01103602,9.001800617,102.5180228,102.7869586,-66.8629624,-72.62036375,5.757401353,1426.590027,1427.840027,1529.667602,1518.369925,40,8,32,63.15903947,62.52215813,-65.82155243,55.71905212,87.19100586,71.11909596,-12.80899414,13.5779968,1.067129948,1.061476302,0.682374706
