Date,DJIA_Movement,NASDAQ,S&P500,Nikkei225,Hangseng,FTSE100,DAX,ASX,USD/EUR,USD/AUD,USD/JPY,SILVER,PLATINUM,OIL,GOLD
1/4/2000,0,-0.055543848,-0.038344668,0.000721642,-0.017087902,-0.019439412,-0.024265353,-0.024242816,-0.014938403,0.004419384,0.01366765,-0.00929368,-0.031111111,-0.008281573,-0.004613201
1/5/2000,1,-0.0061896,0.001922183,-0.024223123,-0.071815937,-0.019502243,-0.012886141,-0.006426575,-0.002515724,0.001832061,0.006596178,-0.00750469,-0.036697248,-0.00960334,0.001033868
1/6/2000,1,-0.038790097,0.000955678,-0.020184993,-0.043762323,-0.013571154,-0.004175578,0.008035159,0.001065479,0.001529052,0.013684109,-0.030245747,-0.011904762,-0.007166948,0.019551978
1/7/2000,1,0.041718491,0.0270904,0.001383766,0.016656475,0.00893405,0.047265455,0.022722788,0.00291432,-0.001221747,-0.000190132,-0.003898635,0.012048193,-0.008492569,-0.01795445
1/10/2000,1,0.043025019,0.011189969,0.018069998,0.028724597,0.015819148,0.021318524,0.022217934,0.004096761,-0.001981405,0.001045926,0.001956947,0.004761905,-0.0248394,-0.006082379
1/11/2000,0,-0.031726038,-0.013062512,0.017749268,0.00088018,-0.013438911,-0.004948368,-0.02290564,-0.006781631,-0.002129277,0.007693769,0.001953125,0.002369668,0.050944225,-0.01263286
1/12/2000,1,-0.018150083,-0.004386372,-0.009203795,-0.009324075,0.002132247,0.003128614,-0.003076027,0.003987939,-0.000456066,-0.003110567,0,0,0.028834099,-0.025697717
1/13/2000,1,0.027841398,0.012169701,0.008345325,-0.005106225,-0.000198966,0.006244916,0.011854884,0.001071081,-0.016300285,0.003120272,-0.009746589,0.004728132,0.011372868,-0.002008854
1/14/2000,1,0.02705443,0.010671299,0.006544885,-0.005867323,0.01939833,0.031230716,-0.005601191,0.014020537,0.003300826,-0.002167971,0.001968504,0.021176471,0.024096386,-3.73E-05
1/18/2000,0,0.016371953,-0.006832071,0.012661561,0.015890237,-0.023069312,-0.014094102,-0.005632741,0.000691632,0.00376506,-0.003495182,0.003929273,0.002304147,0.031764706,0.007418176
1/19/2000,0,0.00495786,0.000522293,-0.015566338,-0.032545053,-0.009085893,0.002675283,0.010387924,0.000593178,0.000904432,-0.000947957,-0.001956947,0.027586207,-0.005321171,-0.011359852
1/20/2000,0,0.009206711,-0.007095321,0.005834545,-0.003929881,-0.0150182,0.003048935,-0.01256228,-0.001776374,-0.00480048,0.000569314,0.001960784,0.004474273,0.003439052,-0.002657385
1/21/2000,0,0.010953581,-0.002912319,-0.00683501,-0.007025779,-0.000378092,-0.016858693,-0.004018343,0.003267327,0.006796556,-0.004646752,0.011741683,-0.011135857,0.035034273,-0.006041956
1/24/2000,0,-0.032894137,-0.027633594,0.009461821,0.003914353,0.005278666,-0.008688966,-0.004034556,0.008084639,0.011766504,0.005335366,0.001934236,0.031531532,-0.005886681,0.003246998
1/25/2000,1,0.017414229,0.0060648,-0.008457999,-0.004253144,-0.016567872,-0.017650068,0.000442804,-0.002191017,0.000305717,0.003316907,0.00965251,0.010917031,0.008142117,0.009069697
1/26/2000,1,-0.023395884,-0.004212721,0.01141329,0.021497638,0.016177619,0.02345645,0.000442608,0.002996704,0.005687932,-0.000188911,-0.003824092,-0.01511879,-0.002202643,-0.00384142
1/27/2000,0,-0.007457131,-0.003938428,0.005155684,0.031766836,0.010257843,0.022492673,0.004325948,0.01223458,-0.006870229,-0.008880491,-0.003838772,0.019736842,-0.009933775,-0.000336952
1/28/2000,0,-0.037749158,-0.027456829,0.01171587,0.016844708,-0.010153688,-0.008353733,0.001256274,0.012800819,0.045490822,0.021351635,0.032755299,0.068817204,-0.01189149,-0.008089585
1/31/2000,1,0.01370699,0.025217567,0.005398565,-0.040380761,-0.016798434,-0.032688987,0.001254697,0.000819924,-0.018332811,0.001679888,-0.02238806,0.002012072,0.01842798,-0.005399283
2/1/2000,1,0.02832994,0.010627819,-0.005952925,0.007823709,0.003573407,0.03143248,0.012368584,0.002671873,0.01060966,0.0031678,-0.001908397,-0.010040161,0.009970458,-0.016361704
2/2/2000,0,0.005424504,-0.000113557,0.008007324,0.008685395,0.001891606,0.017231533,0.0103205,-0.003787878,-0.007075472,0.006779976,-0.009560229,0.018255578,-0.007312614,-0.011269345
