Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,ISM_MONTHLY_PMI,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1262581200.0,1,1121.5,79.05,16.73,1510,2294.409912,2311.149902,2294.409912,2308.419922,1931380000,1116.560059,1133.869995,1116.560059,1132.98999,3991400000,10430.69043,10604.969729999999,10430.69043,10583.95996,179780000,5975.52002,6048.299805,5974.430176,6048.299805,104344400,4887.299805,4930.700195,4887.299805,4924.299805,0,21860.03906,22024.83008,21689.2207,21823.2793,1006199600,21.68,21.68,20.030001000000002,20.040001,0,57.2,0.9133,1.4419,0.7327,1.6109,1.72,1.0377,6.8273,5.1597,7.7555,46.27,92.55,1149.0,3.3960000000000004,12.911,5.7113,7.0633,7.2955,1.3971,114.4,1.0294,31.65,33.18,2.1446
1262667600.0,1,1123.25,79.27,17.39,1520,2307.27002,2313.72998,2295.6201170000004,2308.709961,2367860000,1132.660034,1136.630005,1129.660034,1136.52002,2491020000,10584.55957,10584.55957,10522.51953,10572.01953,188540000,6043.939941,6058.02002,6015.669922,6031.859863000001,117572100,4927.700195,4938.5,4915.299805,4921.399902,0,22092.15039,22297.03906,21987.26953,22279.58008,1965584800,20.049999,20.129998999999998,19.34,19.35,0,57.2,0.9143,1.4402,0.7357,1.6009,1.7296,1.0371,6.8258,5.1668,7.7564,46.13,91.48,1138.2,3.385,12.815999999999999,5.6986,7.0919,7.306,1.3956,114.3,1.0322,31.89,33.15,2.1446
1262754000.0,1,1130.0,80.14,17.63,1558,2307.709961,2314.070068,2295.679932,2301.090088,2253340000,1135.709961,1139.189941,1133.949951,1137.140015,4972660000,10564.719729999999,10594.99023,10546.549809999999,10573.67969,186040000,6032.390136999999,6047.569824,5997.089844,6034.330078,108742400,4922.799805,4938.100098,4898.899902,4899.399902,0,22357.46094,22514.78906,22277.13086,22416.66992,2100234000,19.59,19.68,18.77,19.16,0,57.2,0.9189,1.4404,0.7355,1.6016,1.7292,1.0333,6.8272,5.1638,7.7546,45.72,92.53,1130.0,3.3789999999999996,12.742,5.6805,7.0744,7.306,1.3945,114.3,1.0282,31.83,33.14,2.1446
1262840400.0,1,1130.25,80.57,17.95,1555,2298.090088,2301.300049,2285.219971,2300.050049,2270050000,1136.27002,1142.459961,1131.319946,1141.689941,5270680000,10571.11035,10612.37012,10505.20996,10606.86035,217390000,6016.799805,6037.569824,5961.25,6019.359863000001,133704300,4900.299805,4937.899902,4900.299805,4912.100098,0,22548.0293,22548.0293,22169.60938,22269.44922,1495365300,19.68,19.709999,18.700001,19.059998999999998,0,57.2,0.9168,1.4314,0.7325,1.5912,1.7409,1.0351,6.827999999999999,5.1981,7.7539,45.67,93.31,1135.0,3.3680000000000003,12.759,5.7118,7.1251,7.44,1.3971,114.27,1.0341,31.85,33.11,2.1446
1262926800.0,1,1126.75,80.06,17.91,1573,2292.23999,2317.600098,2290.610107,2317.169922,2145390000,1140.52002,1145.390015,1136.219971,1144.97998,4389590000,10606.40039,10619.40039,10554.33008,10618.19043,172710000,6028.620117,6053.040039,5972.240234000001,6037.609863000001,126099000,4900.299805,4937.899902,4900.299805,4912.100098,0,22282.75,22443.2207,22206.16016,22296.75,1626022600,19.27,19.27,18.110001,18.129998999999998,0,57.2,0.9218,1.4357,0.7338,1.5993,1.7342,1.0345,6.8274,5.1827,7.7553,45.5,92.7,1127.75,3.375,12.7256,5.6868,7.1185,7.3565,1.3941,114.35,1.0296,31.82,33.13,2.1446
1263186000.0,0,1153.0,80.14,18.53,1594,2324.780029,2326.280029,2302.209961,2312.409912,2077890000,1145.959961,1149.73999,1142.02002,1146.97998,4255780000,10620.30957,10676.23047,10591.58984,10663.99023,182050000,6057.930176,6094.259765999999,6031.140136999999,6040.5,103675800,4938.600098,4940.0,4893.100098,4899.5,0,22524.17969,22671.91992,22373.96094,22411.51953,1744637600,16.93,17.74,16.860001,17.549999,0,57.2,0.9295,1.4536,0.7423,1.6146,1.733,1.0317,6.8263,5.1185,7.755,45.35,91.9,1120.0,3.335,12.665999999999999,5.6162,7.0242,7.3425,1.3878,114.3,1.0154,31.75,33.01,2.1446
1263272400.0,1,1151.25,79.38,18.44,1589,2297.280029,2298.850098,2272.699951,2282.310059,2368320000,1143.810059,1143.810059,1131.77002,1136.219971,4716160000,10662.86035,10663.08008,10568.83984,10627.25977,256050000,6039.390136999999,6055.560059,5924.720215,5943.0,129269700,4886.299805,4887.0,4852.899902,4868.100098,0,22378.23047,22476.11914,22192.98047,22326.64063,2204776800,17.950001,19.459999,17.950001,18.25,0,57.2,0.9242,1.4523,0.7416,1.6181,1.7407,1.0374,6.8267,5.1232,7.7552,45.6,90.95,1120.25,3.3425,12.7155,5.6341,7.0409,7.425,1.3884,114.25,1.016,31.8,33.01,4.2893
1263358800.0,1,1127.25,77.57,18.06,1578,2289.459961,2313.030029,2274.1201170000004,2307.899902,2318350000,1137.310059,1148.400024,1133.180054,1145.680054,4170360000,10628.08984,10709.25977,10614.49023,10680.76953,202810000,5937.169922,5974.439941,5925.240234000001,5963.140136999999,114728400,4876.0,4920.5,4875.100098,4898.0,0,21990.67969,22012.03906,21688.16992,21748.59961,3414190400,17.940001000000002,18.719998999999998,17.559998999999998,17.85,0,57.2,0.9225,1.4492,0.7394,1.6288,1.7480000000000002,1.0319,6.8295,5.1336,7.7564,45.47,91.38,1122.0,3.3445,12.762,5.6445,7.0453,7.4222,1.3885,114.35,1.0194,31.75,33.02,4.2893
1263445200.0,0,1138.25,77.61,18.43,1603,2303.310059,2322.560059,2303.290039,2316.73999,2254170000,1145.680054,1150.410034,1143.800049,1148.459961,3915200000,10680.16016,10723.76953,10666.86035,10710.549809999999,201320000,5999.080078,6009.910156,5951.689941,5988.879883,115453700,4896.5,4905.399902,4857.799805,4899.600098,0,21871.00977,21988.92969,21707.09961,21716.94922,2338667600,18.16,18.27,17.379998999999998,17.629998999999998,0,57.2,0.9306,1.4478,0.7425,1.632,1.7684,1.026,6.8265,5.1387,7.7578,45.55,91.03,1122.5,3.3369999999999997,12.72,5.6354,7.0217,7.406000000000001,1.3879,114.35,1.0206,31.75,32.85,4.2893
1263531600.0,0,1128.0,76.85,18.36,1603,2316.97998,2322.540039,2279.199951,2287.98999,2637770000,1147.719971,1147.77002,1131.390015,1136.030029,4758730000,10706.99023,10709.94043,10561.05957,10609.65039,362930000,5996.560059,6025.359863000001,5866.839844,5875.970215,156035200,4896.5,4905.399902,4857.799805,4899.600098,0,21715.08984,21788.84961,21581.07031,21654.16016,2659842200,17.629998999999998,19.02,17.629998999999998,17.91,0,57.2,0.9234,1.4376,0.738,1.624,1.7681,1.0287,6.8269,5.1768,7.7594,45.8,90.79,1123.0,3.338,12.6845,5.6816,7.0611,7.388,1.391,114.2,1.0264,31.79,32.86,4.2893
