Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,Next_S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1/4/2000,1,-8.75,0,-0.05,-14,-166.189941,-118.939941,-91.479981,-229.459961,1770000,-14.030029,-55.799927,-22.780029,-40.929931,-55.799927,77200000,-152.09961,-171.9502,-319.24023,-359.58008,8670000,-214.479981,-403.970215,-210.410156,-163.809571,3605900,-75,-75,-75,-75,0,245.30078,-123.16016,-124.17969,-296.81055,0,0.58,1.03,0.819999,2.800001,0,-0.0029,0.0154,-0.0056,0.01,0.0355,0.0053,1.00E-04,-0.111,0.001,0,1.39,-5.5,0,0.0555,-0.03,-0.083,-0.041,-0.0028,0.35,-0.0243,-0.78,0.16,0.0005
1/5/2000,1,-1.05,-0.23,-0.04,-16,-165.649902,-149.040039,-163.359863,-24.149902,223830000,-55.799927,2.689941,-41.949951,-19.75,2.689941,76500000,-360.37988,-134.95996,-47.78028,124.7207,24770000,-161.390136,-169.509765,-121.549805,-84.880371,6004400,-19.399902,-19.399902,-19.399902,-19.399902,0,-694.44922,-694.44922,-1245.0293,-1226.10058,0,3.039999,1.82,1.050001,-0.6,0,-0.0012,0.0026,-0.0027,0.0045,0.0155,0,-1.00E-04,-0.01,0.0005,0,0.68,12.5,0,0.078,0.001,-0.007,-0.015,0.0025,0.3,-0.0039,0.2,-0.03,0.0012
1/6/2000,1,-1.05,-0.17,-0.16,-5,-19.910157,-55.449951,-19.25,-150.410156,-137350000,2.689941,1.339966,-1.369996,14.419922,1.339966,6800000,124,98.35059,159.78028,130.60938,-26640000,-84.399903,-46.540039,13.719727,-27.149902,-11502200,24.099853,24.099853,24.099853,24.099853,0,-666.48047,-637.52051,-924.5205,-693.48926,0,-1.3,-2.290001,-1.149999,-0.68,0,-0.001,-0.0011,-0.0026,0.006,-0.016,0.0053,-1.00E-04,0.0045,0.0005,0,1.42,11.5,0,0.032,0.005,0.0145,0.01,0.0095,0,0.0014,0.95,0.52,-0.0012
1/7/2000,1,2.7,-0.2,-0.02,5,-123.349853,13.909912,-4.530029,155.490234,36610000,1.339966,38.02002,29.569947,8.630004,38.02002,132900000,133.68945,214.68945,141.46972,269.2998,8350000,-11.510254,252.219726,67.510254,306.040039,14878300,0,0,0,0,0,-612.73047,-457.14062,344.78027,252.39941,0,-1.540001,-1.539999,-2.980002,-4.010001,0,0.0008,-0.003,0.0015,-0.0091,-0.009,-0.0066,-0.0003,0.016,-0.0002,0,-0.02,-8.5,0,-0.047,0.026,0.0475,-0.023,-0.003,0.2,0.0083,-0.9,-0.32,0.0005
1/10/2000,0,-0.5,-0.58,0.01,2,291.139892,189.690185,247.73999,167.049805,56780000,38.02002,16.130005,22.890014,40.739991,16.130005,-160400000,285.4209,110.14062,292.56055,49.64063,-16720000,295.530274,183.729981,315.330078,144.560059,-14052700,137.400147,137.400147,137.400147,137.400147,0,301.66016,551.20019,522.25,442.52051,0,-3.25,-2.68,-0.359998,-0.01,0,0.0013,-0.0042,0.0008,-0.001,-0.012,0.0063,0,0.0255,0.0002,0,0.11,-4.5,0,-0.075,0.058,0.034,0.0195,-0.0007,0.15,0.0081,-0.02,-0.03,0.001
1/11/2000,0,0.65,1.16,0.01,1,29.149903,-5.700195,-54.01001,-128.479981,2750000,16.130005,-19.039917,-5.699951,-7.049927,-19.039917,-50800000,35.98926,24.81934,-29.78027,-61.12012,9120000,140.569824,-31.429688,35.789551,-34.27002,1883800,-72.400147,-72.400147,-72.400147,-72.400147,0,350.12988,131,105.16992,13.94922,0,0.090001,0.139999,0.33,0.790001,0,0.0014,0.007,-0.0004,0.0106,0.0035,0.0002,1.00E-04,-0.04,0,0.05,0.81,13.5,0,0.0375,-0.055,-0.052,0.0135,0.0072,0.05,-0.0099,0,0.34,0.0002
1/12/2000,1,0,0.69,0,0,-80.429932,-115.679932,-70.290039,-71.169921,-168560000,-19.039917,-6.310059,-16.060058,-7.340088,-6.310059,-39400000,-61.73926,-50.56934,2.47949,40.01953,16760000,-47.120117,-30.330078,-38.039551,21.560059,-9206900,-9.5,-9.5,-9.5,-9.5,0,-289.39941,-452.0498,-190.5,-147.89941,0,1.069999,0.860001,0.719999,0.34,0,0.0003,-0.0041,0.0021,-0.0015,0.0125,-0.002,1.00E-04,0.022,0.0002,0,-0.33,-2.5,0,0.0325,0.008,0.021,-0.0215,0,0,0.0055,-0.03,-0.07,0.0006
1/13/2000,1,-0.15,0.28,-0.05,2,-35.810058,6.489991,23.689942,107.189941,-48930000,-6.310059,17.430054,11.599975,5.170044,17.430054,55800000,51.50976,44.04981,18.93066,31.33008,-19150000,34.209961,192.950195,115.469726,43.169921,13433100,36.5,36.5,36.5,36.5,0,71.5293,117.12988,-87.04004,-80.24024,0,-0.319999,-0.39,-1.09,-1.130001,0,0.0109,-0.0011,0.0055,0.0017,-0.021,-0.0055,0.0002,0.016,0.0001,-0.05,0.33,-9,0,-0.005,-0.0345,-0.001,-0.0115,0.001,0,0.0047,0,-0.05,0.0007
1/14/2000,1,1.2,0.6,0.01,9,130.580078,134.47998,187.5,107.060059,179660000,17.430054,0,18.800049,17.430054,15.46997,55500000,61.10938,93.70019,88.41992,140.55078,91920000,47.160156,101,61.600098,217.240235,-1075300,0,0,0,0,0,-21.71973,2.31055,-136.43945,-91.72949,0,-2.9,-2.95,-1.81,-2.049999,0,-0.0022,-0.0142,-0.0028,-0.0129,-0.009,0.0002,-1.00E-04,0.095,1.00E-04,0,-0.23,-10.5,0,-0.055,0.0545,0.057,0.018,0.0052,0,0.0238,0.03,0.06,-0.002
1/17/2000,0,2.05,0.49,0.03,1,0,0,0,0,0,0,15.46997,0,0,0,0,0,0,0,0,0,217.189941,89.589844,152.680176,85.679687,-2168100,12.600098,12.600098,12.600098,12.600098,0,-75.48047,-35.9707,152.19922,32.3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
